block_id,trans_id,block_time,activity_type,from_address,to_address,token_address,token_decimals,amount,flow,value
262558657,7dLfXJqp9TMmCrtaEBzR5xBecezLW34D5RiwCE78gwypuyJzDs1qxhTeYZ2jiYWytvhmwCPRAzd7eCYutzsDrbA,1714235378,ACTIVITY_SPL_TRANSFER,Ba2ubeksDrDSo5aTCfgAEc5Q72TBefhr6J3rsxb84h9t,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
262558269,EHbLxf6FTasiXPu6kutwTGJXDnq2NCdpqXaNfVQHDnUCtrFaV2BsvomRktE59vg1yXfSBneixfBgzQMrGtNRqEh,1714235190,ACTIVITY_SPL_TRANSFER,Ba2ubeksDrDSo5aTCfgAEc5Q72TBefhr6J3rsxb84h9t,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
262402085,2MJgvpvrzrcb2FGSMXpE3jMbW7QXuK866gHxcgmSPdac4LSp1aMYNsLPi7q2kWwFeEHwcK4f4yx7tfgbsXVbp1W1,1714161875,ACTIVITY_SPL_TRANSFER,AHLVs3NmtUAttspbq1SyoJVsfUxiQDfkqiwFSPXY7uGP,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
262322797,4JJZcStGgBRVk2fphYNUvUypTCBET9kboHkdw5eBKBtC1sbkyge6ArdpxQ5aqkPUEPy4s4k4z3xg3hrCsnTk6rYY,1714124369,ACTIVITY_SPL_TRANSFER,84wgSfdEZf58ehxsC4mo8qTAUotMauhKFLvYYgJgCVwd,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
262178667,KJFPkgkZE9n3Aj465rRM2c1mhvpf63sUSgx6hXT79ySQhoGWgLrE8pCgxYffgP4JkdZdQvSYVkwHrKhTHT5Eso7,1714056035,ACTIVITY_SPL_TRANSFER,Ba2ubeksDrDSo5aTCfgAEc5Q72TBefhr6J3rsxb84h9t,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
262177907,2EDAiA3mLwWfstJMJ1D8nVbcPJxRQ35avZ6aEfFU7gCWsMPGM7kU9v5zrgiZsZB9Wp5HQK9v1oJr5SQBFLBbWQhD,1714055680,ACTIVITY_SPL_TRANSFER,Ba2ubeksDrDSo5aTCfgAEc5Q72TBefhr6J3rsxb84h9t,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
261204881,4mzj5itA4f1zArcezQs1ttwDb6W1GwQu5poPtV5ytoekwaK9g3cqSNZ2SXZd5rT6HHAyfxofQ5PBqcpbsjmXCdLJ,1713603330,ACTIVITY_SPL_TRANSFER,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,zcTEyCVwoiPR5pZHcuzR5nxaoYpscj66SkHJKAAub7J,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,2998000000,out,0
261146419,5vCdihXQm8AFYTdV163A2kY59MQycptJnm8cMCpdnm4v3AiTot937PDuDa3x84uJUp1UsNxG5MZsfygxpb7j1q9K,1713576746,ACTIVITY_SPL_TRANSFER,9fo3tPXfPU21FA2ixKgtL61DWtM6eeB86ozXERgRmwaR,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
261145746,4yKE79FgXrG8GA2EEKj4skS62yGV5GJ7JXUK1x8oaRWwxtfxEQkBZ5HzvMBG6a1v6xUYWa3PoMax5zSaAu81dhNZ,1713576443,ACTIVITY_SPL_TRANSFER,3nDeeLAYfCs6w7LiXQsoFQMyDnUmTk11YTHQ2mw1ytZy,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
261039323,2vWKejFCnX4jgEAvuPxrohvECkvGqCa8aueWWRCT2EsX85cwdtc87Hx5SU4gQzsDeUyTzaj62ppMd3oDFgkKbGXM,1713527696,ACTIVITY_SPL_TRANSFER,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,zcTEyCVwoiPR5pZHcuzR5nxaoYpscj66SkHJKAAub7J,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,13491000000,out,0
